id,slug,name,type,versionKey,purchaseUrl,outcomes,tagline,included,comparePopupId,upgradeInfoUrl,icon
dak-hk,hand-knit,DesignaKnit Hand Knit,software,hand-knit,[Outseta link],Create and print hand knitting patterns | Use Stitch Designer and Graphics Studio | Work with garment sizing and shaping tools,Pattern design and charting for hand knitting,Standard Garment Styling | Stitch Designer | Interactive Knitting | Graphics Studio,compare-dak-versions,/designaknit/upgrades,/images/designaknit/designaknit_hand.jpg
dak-ms,machine-standard,DesignaKnit Machine Standard,software,machine-standard,[Outseta link],Create machine knitting patterns | Send patterns to compatible electronic machines | Print KnitLeader and machine templates,Core machine knitting patterning with electronic machine support,Standard Garment Styling | Stitch Designer | Interactive Knitting | Graphics Studio,compare-dak-versions,/designaknit/upgrades,/images/designaknit/designaknit_standard.jpg
dak-mp,machine-pro,DesignaKnit Machine Pro,software,machine-pro,[Outseta link],Draft original garment patterns | Create and edit machine stitch patterns | Send patterns directly to electronic machines | Print professional charts and instructions,Advanced pattern drafting and full electronic machine control,Standard Garment Styling | Stitch Designer | Interactive Knitting | Graphics Studio | Original Pattern Drafting,compare-dak-versions,/designaknit/upgrades,/images/designaknit/designaknit_pro.jpg
dak-complete,complete,DesignaKnit Complete,software,complete,[Outseta link],Design both hand and machine knitting patterns | Convert hand patterns to machine knitting | Create advanced cables and custom stitch instructions | Control electronic machines,Full DesignaKnit feature set for hand and machine knitting,Standard Garment Styling | Stitch Designer | Interactive Knitting | Graphics Studio | Original Pattern Drafting | Hand & Machine Pattern Support,compare-dak-versions,/designaknit/upgrades,/images/designaknit/designaknit-complete.jpg
